[00:00 - 00:04] भारत माता की भारत माता की (Confidence: 0.96)
[00:04 - 00:12]  मां शिप्रा (Confidence: 0.51)
[00:12 - 00:24]  और मां अहिल्याबाई की (Confidence: 0.57)
[00:24 - 00:43]  इस पवित्र नगरी को यहां के लोगों को (Confidence: 0.96)
[00:43 - 01:04]  सादर प्रणाम (Confidence: 0.96)
[01:04 - 01:36]  मैं एयरपोर्ट पर तो समय पर आ गया था (Confidence: 0.78)
[01:36 - 02:11]  लेकिन यहां पहुंचने में विलंब हुआ (Confidence: 0.92)
[02:11 - 02:52]  और विलंब इसलिए हुआ (Confidence: 0.89)
[02:52 - 03:36]  प्याज (Confidence: 0.86)
[03:36 - 04:27]  इंदौर ने जो अभूतपूर्व प्रेम दिखाया (Confidence: 0.94)
[04:27 - 05:21]  जो आशीर्वाद दिए (Confidence: 0.93)
[05:21 - 06:23]  एयरपोर्ट से यहां तक दोनों तरफ ह्यूमन मॉल था (Confidence: 0.90)
[06:23 - 07:30]  शायद (Confidence: 0.91)
[07:30 - 08:40]  मैं भाषण ना करता (Confidence: 0.84)
[08:40 - 09:53]  इतना रोड शो करके चला जाता (Confidence: 0.73)
[09:53 - 11:15]  तो भी पूरा मध्य प्रदेश के अखबार पढ़ रहे थे कि मोदी का रोड शो जबरदस्त हुआ (Confidence: 0.84)
[11:15 - 12:41]  इतना प्यार (Confidence: 0.96)
[12:41 - 14:10]  आज (Confidence: 0.92)
[14:10 - 15:43]  इंदौर में मेरे दिल को छू लिया आएगी (Confidence: 0.89)
[15:43 - 17:25]  पुरातन भारत की आस्था (Confidence: 0.81)
[17:25 - 19:12]  अध्यात्म से लेकर (Confidence: 0.71)
[19:12 - 21:03]  नए हिंदुस्तान के (Confidence: 0.93)
[21:03 - 22:56]  नए अंदाज (Confidence: 0.67)
[22:56 - 24:54]  नए एटीट्यूड का (Confidence: 0.90)
[24:54 - 26:59]  अगर कोई शहर प्रतीक है तो शहर का नाम इंदौर है (Confidence: 0.91)
[26:59 - 29:10]  इंदौर में (Confidence: 0.95)
[29:10 - 31:24]  अहिल्याबाई होल्कर के रूप में (Confidence: 0.83)
[31:24 - 33:42]  काशी सही (Confidence: 0.83)
[33:42 - 36:07]  पूरे भारत में अध्यात्मा (Confidence: 0.89)
[36:07 - 38:34]  और मानवता की भलाई के लिए (Confidence: 0.96)
[38:34 - 41:06]  प्रेरणादायक नेतृत्व दिया (Confidence: 0.93)
[41:06 - 43:41]  तो बीते 5 वर्षों में (Confidence: 0.90)
[43:41 - 46:21]  स्वच्छ भारत अभियान के लिए (Confidence: 0.96)
[46:21 - 49:04]  भारत की अगुवाई की (Confidence: 0.66)
[49:04 - 51:51]  मां अहिल्याबाई ने (Confidence: 0.53)
[51:51 - 54:40]  काशी में (Confidence: 0.96)
[54:40 - 57:41]  बाबा विश्वनाथ मंदिर के लिए जो सपना देखा था उसको बाबा के आशीर्वाद से (Confidence: 0.95)
[57:41 - 60:48]  पूरा करने की कोशिश आज मेरे काशीवासी कर रहे हैं (Confidence: 0.93)
[60:48 - 63:58]  बनारस का (Confidence: 0.96)
[63:58 - 67:11]  एक सांसद होने के नाते (Confidence: 0.94)
[67:11 - 70:29]  मुझे इस बात का विशेष गर्व है (Confidence: 0.91)
[70:29 - 73:51]  इंदौर से मेहरा (Confidence: 0.79)
[73:51 - 77:24]  विशेष दे इसलिए भी रहा है क्योंकि सुमित्रा ताई का शहर है (Confidence: 0.86)
[77:24 - 81:03]  9 बार (Confidence: 0.84)
[81:03 - 84:53]  इस शहर ने उन्हें चुन करके देश की सेवा करने के लिए भेजा संसद में भेजा (Confidence: 0.89)
[84:53 - 88:47]  और स्पीकर के तौर पर (Confidence: 0.86)
[88:47 - 92:44]  सुमित्रा आतंकी (Confidence: 0.58)
[92:44 - 96:44]  उन्होंने जो कुशलता से (Confidence: 0.96)
[96:44 - 100:46]  संयम से (Confidence: 0.88)
[100:46 - 104:53]  कार्य किया (Confidence: 0.92)
[104:53 - 109:05]  उससे न सिर्फ में (Confidence: 0.77)
[109:05 - 113:31]  जो भी फाइनल चल रही थी उस समय अगर टीवी देखने की आधी से उन सब के मन पर साईं ने एक अमिट छाप छोड़ी (Confidence: 0.86)
[113:31 - 118:04]  और बहुत कम लोगों को मालूम होगा (Confidence: 0.96)
[118:04 - 122:48]  आपको तो ऐसा लगेगा कि मोदी जी प्रधानमंत्री है लेकिन मारी पार्टी में मोदी जी को भी अगर कोई नाथ सकता है तो तैयार पक्की है (Confidence: 0.88)
[122:48 - 127:41]  सुमित्रा चाय (Confidence: 0.69)
[127:41 - 132:36]  इस बार (Confidence: 0.91)
[132:36 - 137:35]  इस पूरे मध्यप्रदेश के चुनाव को लड़ा रही है (Confidence: 0.85)
[137:35 - 142:40]  और एक नया इतिहास बना रही है (Confidence: 0.96)
[142:40 - 147:47]  लेकिन साथियों (Confidence: 0.97)
[147:47 - 153:00]  मुझे ताई जी के साथ संगठन में काम करने का मौका मिला (Confidence: 0.95)
[153:00 - 158:17]  हमने साथी के रूप में काम किया (Confidence: 0.92)
[158:17 - 163:38]  उनका कार्य के प्रति समर्पण (Confidence: 0.93)
[163:38 - 169:04]  सामान्य मांगने की जिंदगी के लिए (Confidence: 0.85)
[169:04 - 174:33]  कुछ कर गुजरने के उनके इरादे (Confidence: 0.90)
[174:33 - 180:06]  इन सब को ध्यान में रखते हुए (Confidence: 0.97)
[180:06 - 185:45]  मैं इंदौर कोई विश्वास दिलाता हूं कि शहर के विकास में (Confidence: 0.94)
[185:45 - 191:31]  ताई जी की कोई भी इच्छा अधूरी नहीं रहेगी (Confidence: 0.79)
[191:31 - 197:29]  मैं कभी कमी नहीं आने दूंगा यह भी समाज देने के लिए मैं आज इंदौर वासियों के पास आया (Confidence: 0.93)
[197:29 - 203:30]  साथियों (Confidence: 0.96)
[203:30 - 209:35]  इंदौर और मध्यप्रदेश का (Confidence: 0.78)
[209:35 - 215:44]  मैं एक और बात के लिए आभारी हूं (Confidence: 0.96)
[215:44 - 221:55]  आपने (Confidence: 0.85)
[221:55 - 228:10]  मेरे एक आग्रह को (Confidence: 0.90)
[228:10 - 234:31]  बहुत गंभीरता से सफल बनाया (Confidence: 0.96)
[234:31 - 240:57]  और वह स्वच्छ भारत अभियान (Confidence: 0.96)
[240:57 - 247:43]  स्वच्छ भारत अभियान अगर भारत के सामान्य मानवीय की सोच तक पहुंचा है तो इसके हकदार इंदौर के मेरे सभी भाई बहन (Confidence: 0.89)
[247:43 - 254:34]  साथियों (Confidence: 0.94)
[254:34 - 261:27]  हमने अक्सर (Confidence: 0.94)
